# Source: K. Bogumil, J. Orphal, and J. P. Burrows
# University of Bremen - Institute of Environmental Physics
# P. O. Box 33 04 40
# D-28334 Bremen, Germany
# e-mail: Konstanze.Bogumil@iup.physik.uni-bremen.de
# SIGMA = (C0 + C1*(T-T0) + C2*(T-T0)^2) * 1.E-20 cm^2
# where T0 = 273.15 and T is in Kelvin
#
# wavelength
# (air nm)         C0          C1(T-T0)         C2((T-T0)^2)
   234.3      6.01334e+02     -3.50122e-02     -8.15827e-04
   234.4      6.06183e+02     -3.83559e-02     -1.31161e-03
   234.5      6.12717e+02     -5.66280e-02     -1.69302e-03
   234.6      6.17622e+02     -3.03579e-02     -9.53129e-04
   234.7      6.21587e+02     -2.35592e-03     -5.46346e-04
   234.8      6.26697e+02     -4.39496e-02     -1.82569e-03
   234.9      6.30551e+02     -9.76143e-02     -2.80515e-03
   235.0      6.33214e+02     -1.13856e-01     -3.03758e-03
   235.1      6.35548e+02     -8.85893e-02     -2.62048e-03
   235.2      6.37431e+02     -4.98531e-02     -1.91937e-03
   235.3      6.38013e+02     -2.57546e-02     -1.56799e-03
   235.4      6.40174e+02     -1.24418e-02     -1.31776e-03
   235.5      6.43975e+02     -4.23401e-03     -1.13237e-03
   235.6      6.47677e+02      7.54864e-03     -8.39127e-04
   235.7      6.51251e+02      2.91007e-02     -1.28929e-04
   235.8      6.57067e+02      1.98470e-02     -4.82237e-04
   235.9      6.62969e+02     -2.42607e-02     -1.70613e-03
   236.0      6.67510e+02     -5.38866e-02     -2.16406e-03
   236.1      6.72890e+02     -2.33228e-02     -1.01653e-03
   236.2      6.77758e+02     -8.77463e-03     -8.56688e-04
   236.3      6.81270e+02     -2.04666e-02     -1.28979e-03
   236.4      6.84083e+02     -2.72856e-02     -1.20385e-03
   236.5      6.87263e+02     -1.45004e-02     -8.72625e-04
   236.6      6.90244e+02     -6.30916e-03     -9.77228e-04
   236.7      6.93218e+02     -2.44725e-02     -1.42344e-03
   236.8      6.96411e+02     -5.56603e-02     -1.79232e-03
   236.9      7.00071e+02     -6.14649e-02     -1.75429e-03
   237.0      7.04889e+02     -2.71698e-02     -1.26612e-03
   237.1      7.09219e+02     -1.09483e-03     -8.69106e-04
   237.2      7.13021e+02     -6.36623e-04     -7.68305e-04
   237.3      7.17009e+02     -6.40507e-04     -7.24227e-04
   237.4      7.20267e+02      1.36128e-02     -6.22031e-04
   237.5      7.23903e+02     -2.70662e-03     -1.07678e-03
   237.6      7.27657e+02     -2.32971e-02     -1.42964e-03
   237.7      7.31147e+02     -1.82239e-02     -1.16395e-03
   237.8      7.35258e+02     -2.13356e-02     -1.11536e-03
   237.9      7.39493e+02     -2.35150e-02     -1.24407e-03
   238.0      7.43352e+02     -2.06569e-02     -1.05434e-03
   238.1      7.47230e+02     -1.91449e-02     -7.78159e-04
   238.2      7.51869e+02     -2.22548e-02     -1.06199e-03
   238.3      7.56593e+02     -2.22142e-02     -1.19749e-03
   238.4      7.60415e+02     -4.98657e-02     -1.64048e-03
   238.5      7.63607e+02     -7.09016e-02     -1.91186e-03
   238.6      7.67012e+02     -4.23151e-02     -1.37683e-03
   238.7      7.70187e+02     -3.40139e-02     -1.35471e-03
   238.8      7.72353e+02     -3.60034e-02     -1.25272e-03
   238.9      7.74831e+02     -3.36272e-02     -1.25767e-03
   239.0      7.78145e+02     -3.01689e-02     -1.53855e-03
   239.1      7.80707e+02     -3.35863e-02     -1.36217e-03
   239.2      7.85198e+02     -4.89532e-02     -1.75966e-03
   239.3      7.90620e+02     -4.78287e-02     -1.80879e-03
   239.4      7.95760e+02     -3.08377e-02     -1.20787e-03
   239.5      8.01418e+02     -2.57817e-02     -1.04746e-03
   239.6      8.07501e+02     -1.15970e-02     -9.70515e-04
   239.7      8.13674e+02     -3.24209e-02     -1.28712e-03
   239.8      8.19292e+02     -4.80508e-02     -1.50461e-03
   239.9      8.23895e+02     -1.92861e-02     -1.19432e-03
   240.0      8.27617e+02     -3.45361e-02     -1.31422e-03
   240.1      8.29992e+02     -3.65035e-02     -1.29372e-03
   240.2      8.31187e+02     -2.30424e-02     -1.09608e-03
   240.3      8.31957e+02     -2.40038e-02     -1.07550e-03
   240.4      8.33133e+02     -3.22519e-02     -1.19543e-03
   240.5      8.35169e+02     -2.60773e-02     -1.04074e-03
   240.6      8.37836e+02     -3.61232e-02     -1.20374e-03
   240.7      8.41296e+02     -4.12193e-02     -1.38690e-03
   240.8      8.45623e+02     -2.34268e-02     -1.20404e-03
   240.9      8.49861e+02     -5.43517e-02     -1.69478e-03
   241.0      8.54039e+02     -3.74891e-02     -1.34464e-03
   241.1      8.58487e+02     -1.50510e-02     -9.96962e-04
   241.2      8.62966e+02     -3.43312e-02     -1.32123e-03
   241.3      8.67125e+02     -3.54103e-02     -1.16443e-03
   241.4      8.72099e+02     -4.05608e-02     -1.37988e-03
   241.5      8.77137e+02     -4.26276e-02     -1.27327e-03
   241.6      8.81994e+02     -4.64091e-02     -1.20318e-03
   241.7      8.86531e+02     -6.14221e-02     -1.76415e-03
   241.8      8.89156e+02     -6.01739e-02     -1.52137e-03
   241.9      8.90462e+02     -2.77199e-02     -8.15570e-04
   242.0      8.92288e+02     -1.75820e-02     -8.50569e-04
   242.1      8.95001e+02     -4.54240e-02     -1.50077e-03
   242.2      8.97476e+02     -4.92254e-02     -1.36329e-03
   242.3      9.00324e+02     -1.37960e-02     -6.97145e-04
   242.4      9.03746e+02     -3.19493e-02     -1.04958e-03
   242.5      9.06641e+02     -4.70629e-02     -1.30093e-03
   242.6      9.08770e+02     -5.22754e-03     -5.25301e-04
   242.7      9.11909e+02     -2.57527e-02     -8.49740e-04
   242.8      9.15580e+02     -4.09825e-02     -1.22089e-03
   242.9      9.19586e+02     -4.03285e-02     -1.26328e-03
   243.0      9.24054e+02     -3.82581e-02     -1.11420e-03
   243.1      9.28965e+02     -3.88175e-02     -1.05313e-03
   243.2      9.33990e+02     -5.56771e-02     -1.54932e-03
   243.3      9.38363e+02     -4.33373e-02     -1.31640e-03
   243.4      9.42419e+02     -3.17172e-02     -1.02846e-03
   243.5      9.46766e+02     -4.49286e-02     -1.25436e-03
   243.6      9.51379e+02     -4.68425e-02     -1.12681e-03
   243.7      9.56001e+02     -4.63336e-02     -1.14756e-03
   243.8      9.59751e+02     -4.57596e-02     -1.05791e-03
   243.9      9.62983e+02     -3.62239e-02     -8.55667e-04
   244.0      9.65775e+02     -2.73751e-02     -8.64926e-04
   244.1      9.66907e+02     -4.28552e-02     -1.06937e-03
   244.2      9.67585e+02     -4.13068e-02     -1.04099e-03
   244.3      9.67920e+02     -2.49105e-02     -7.39733e-04
   244.4      9.68441e+02     -1.72040e-02     -6.40892e-04
   244.5      9.69530e+02     -2.08863e-02     -8.45846e-04
   244.6      9.69993e+02     -1.40973e-02     -5.99284e-04
   244.7      9.70569e+02     -7.16026e-03     -4.41974e-04
   244.8      9.72309e+02     -1.40266e-02     -7.28260e-04
   244.9      9.75590e+02     -2.72527e-02     -1.04846e-03
   245.0      9.80409e+02     -2.81374e-02     -8.82576e-04
   245.1      9.87028e+02     -2.17579e-02     -6.17175e-04
   245.2      9.94785e+02     -3.63312e-02     -7.86206e-04
   245.3      1.00276e+03     -6.00120e-02     -1.21652e-03
   245.4      1.00970e+03     -7.11476e-02     -1.44465e-03
   245.5      1.01472e+03     -6.74641e-02     -1.29103e-03
   245.6      1.01859e+03     -5.25280e-02     -9.79530e-04
   245.7      1.02168e+03     -5.27513e-02     -1.02843e-03
   245.8      1.02392e+03     -4.29447e-02     -1.00155e-03
   245.9      1.02525e+03     -3.00315e-02     -8.00339e-04
   246.0      1.02610e+03     -5.39904e-02     -1.01444e-03
   246.1      1.02711e+03     -3.93945e-02     -9.75624e-04
   246.2      1.02730e+03     -2.30367e-02     -8.31119e-04
   246.3      1.02690e+03     -2.03167e-02     -7.54981e-04
   246.4      1.02659e+03     -1.73798e-02     -7.06315e-04
   246.5      1.02635e+03     -1.67839e-02     -6.35061e-04
   246.6      1.02680e+03     -1.59287e-02     -5.32565e-04
   246.7      1.02757e+03     -1.48382e-02     -5.76351e-04
   246.8      1.02916e+03     -1.34422e-02     -6.01080e-04
   246.9      1.03219e+03     -1.34809e-02     -5.53845e-04
   247.0      1.03630e+03     -1.88473e-02     -6.99928e-04
   247.1      1.04126e+03     -2.77834e-02     -7.88442e-04
   247.2      1.04636e+03     -3.01408e-02     -8.08758e-04
   247.3      1.05110e+03     -2.88170e-02     -7.44568e-04
   247.4      1.05523e+03     -3.25828e-02     -7.02134e-04
   247.5      1.05868e+03     -4.05765e-02     -8.85824e-04
   247.6      1.06171e+03     -4.52964e-02     -1.05474e-03
   247.7      1.06427e+03     -4.67432e-02     -1.01502e-03
   247.8      1.06622e+03     -3.43375e-02     -7.99822e-04
   247.9      1.06698e+03     -2.23996e-02     -6.99032e-04
   248.0      1.06596e+03     -3.07975e-02     -7.84129e-04
   248.1      1.06416e+03     -8.08284e-03     -4.60393e-04
   248.2      1.06311e+03     -7.48377e-03     -5.35745e-04
   248.3      1.06343e+03     -2.04585e-02     -7.07842e-04
   248.4      1.06554e+03     -1.68203e-02     -5.64750e-04
   248.5      1.06992e+03     -1.22749e-02     -5.34739e-04
   248.6      1.07592e+03     -1.99656e-02     -6.23971e-04
   248.7      1.08255e+03     -4.38845e-02     -8.76045e-04
   248.8      1.08956e+03     -6.34327e-02     -1.14551e-03
   248.9      1.09594e+03     -5.88428e-02     -1.11028e-03
   249.0      1.10024e+03     -4.07485e-02     -8.20011e-04
   249.1      1.10251e+03     -4.06238e-02     -9.12191e-04
   249.2      1.10272e+03     -4.14609e-02     -9.20527e-04
   249.3      1.10177e+03     -2.33519e-02     -6.03094e-04
   249.4      1.10095e+03     -5.47346e-03     -3.92270e-04
   249.5      1.10126e+03     -1.11049e-02     -5.42147e-04
   249.6      1.10313e+03     -1.89411e-02     -5.51495e-04
   249.7      1.10605e+03     -2.26561e-02     -6.49892e-04
   249.8      1.10909e+03     -2.12345e-02     -5.09913e-04
   249.9      1.11167e+03     -2.72352e-02     -5.21258e-04
   250.0      1.11339e+03     -3.65624e-02     -8.28170e-04
   250.1      1.11373e+03     -2.48938e-02     -6.15077e-04
   250.2      1.11246e+03     -1.73618e-02     -5.78060e-04
   250.3      1.10997e+03     -9.84219e-03     -5.27056e-04
   250.4      1.10697e+03     -3.72521e-03     -3.70387e-04
   250.5      1.10442e+03     -6.02893e-03     -3.66772e-04
   250.6      1.10301e+03     -7.27602e-03     -4.92871e-04
   250.7      1.10230e+03      7.35320e-03     -2.96315e-04
   250.8      1.10257e+03     -8.79828e-05     -3.69046e-04
   250.9      1.10338e+03     -5.56470e-03     -3.89600e-04
   251.0      1.10473e+03     -1.63893e-03     -3.24768e-04
   251.1      1.10691e+03     -1.10273e-02     -5.08436e-04
   251.2      1.10968e+03     -1.70915e-02     -5.21634e-04
   251.3      1.11421e+03     -1.77058e-02     -5.01634e-04
   251.4      1.12096e+03     -3.43105e-02     -7.63297e-04
   251.5      1.12934e+03     -4.99338e-02     -9.14554e-04
   251.6      1.13785e+03     -5.25350e-02     -8.20352e-04
   251.7      1.14464e+03     -6.32692e-02     -1.00052e-03
   251.8      1.14851e+03     -5.96655e-02     -1.00288e-03
   251.9      1.14893e+03     -4.40594e-02     -6.82409e-04
   252.0      1.14760e+03     -3.08711e-02     -6.17640e-04
   252.1      1.14514e+03     -2.22993e-02     -6.42662e-04
   252.2      1.14135e+03     -1.27391e-02     -3.20585e-04
   252.3      1.13802e+03     -6.90041e-03     -3.61744e-04
   252.4      1.13454e+03     -6.88957e-03     -4.80782e-04
   252.5      1.13105e+03     -5.97974e-03     -4.77827e-04
   252.6      1.12825e+03     -3.31325e-03     -3.97661e-04
   252.7      1.12672e+03      2.59591e-04     -2.96111e-04
   252.8      1.12672e+03      3.04879e-03     -2.38250e-04
   252.9      1.12801e+03     -7.24290e-03     -4.04829e-04
   253.0      1.12981e+03     -1.67419e-02     -4.57525e-04
   253.1      1.13158e+03     -2.08577e-02     -4.37124e-04
   253.2      1.13356e+03     -1.63187e-02     -4.09969e-04
   253.3      1.13603e+03     -7.29008e-03     -3.66408e-04
   253.4      1.13876e+03     -1.25452e-02     -4.58604e-04
   253.5      1.14216e+03     -2.55106e-02     -6.05070e-04
   253.6      1.14521e+03     -2.89280e-02     -6.15802e-04
   253.7      1.14735e+03     -2.97773e-02     -5.82132e-04
   253.8      1.14868e+03     -3.08980e-02     -5.29144e-04
   253.9      1.14953e+03     -2.81059e-02     -4.82987e-04
   254.0      1.15003e+03     -3.47808e-02     -7.19727e-04
   254.1      1.14889e+03     -3.05398e-02     -6.85826e-04
   254.2      1.14649e+03     -2.91744e-02     -6.75630e-04
   254.3      1.14288e+03     -2.94041e-02     -7.01514e-04
   254.4      1.13820e+03     -1.72126e-02     -4.98867e-04
   254.5      1.13383e+03      1.73564e-05     -2.58218e-04
   254.6      1.13114e+03      2.82804e-03     -3.49280e-04
   254.7      1.13063e+03     -2.29850e-03     -4.09387e-04
   254.8      1.13304e+03     -1.12086e-02     -4.72510e-04
   254.9      1.13790e+03     -2.62414e-02     -6.29957e-04
   255.0      1.14430e+03     -3.84571e-02     -7.53800e-04
   255.1      1.15177e+03     -3.54448e-02     -7.05595e-04
   255.2      1.15858e+03     -3.60541e-02     -5.65863e-04
   255.3      1.16402e+03     -4.47669e-02     -6.67733e-04
   255.4      1.16661e+03     -5.45476e-02     -8.69460e-04
   255.5      1.16610e+03     -5.48921e-02     -9.62867e-04
   255.6      1.16351e+03     -4.52542e-02     -9.08103e-04
   255.7      1.15962e+03     -3.36603e-02     -6.83540e-04
   255.8      1.15537e+03     -1.83570e-02     -3.99591e-04
   255.9      1.15150e+03     -1.66345e-02     -4.70033e-04
   256.0      1.14747e+03     -7.26088e-03     -4.03135e-04
   256.1      1.14328e+03     -1.68836e-03     -3.61026e-04
   256.2      1.13903e+03     -1.12789e-02     -5.64673e-04
   256.3      1.13407e+03     -4.24061e-03     -4.31778e-04
   256.4      1.12904e+03     -3.86401e-03     -5.15852e-04
   256.5      1.12423e+03      5.59597e-03     -3.70894e-04
   256.6      1.12047e+03      1.35867e-02     -1.88139e-04
   256.7      1.11873e+03      1.10732e-02     -1.89345e-04
   256.8      1.11932e+03      2.27810e-03     -3.30785e-04
   256.9      1.12165e+03     -9.91220e-03     -5.51993e-04
   257.0      1.12477e+03     -1.51533e-02     -5.20413e-04
   257.1      1.12767e+03     -2.62307e-02     -6.01358e-04
   257.2      1.12894e+03     -3.44055e-02     -6.91120e-04
   257.3      1.12807e+03     -3.47948e-02     -6.99350e-04
   257.4      1.12550e+03     -2.99148e-02     -6.52421e-04
   257.5      1.12206e+03     -2.44536e-02     -6.24809e-04
   257.6      1.11897e+03     -3.02929e-02     -8.47149e-04
   257.7      1.11649e+03     -1.06094e-02     -4.12260e-04
   257.8      1.11524e+03     -1.18107e-02     -4.60977e-04
   257.9      1.11422e+03     -2.62290e-02     -6.96885e-04
   258.0      1.11332e+03     -2.16780e-02     -5.03156e-04
   258.1      1.11420e+03     -1.79191e-02     -5.25590e-04
   258.2      1.11697e+03     -2.68423e-02     -6.07898e-04
   258.3      1.12259e+03     -3.78351e-02     -8.01431e-04
   258.4      1.12989e+03     -4.62974e-02     -8.59536e-04
   258.5      1.13764e+03     -5.97313e-02     -9.90264e-04
   258.6      1.14426e+03     -6.95388e-02     -1.11191e-03
   258.7      1.14793e+03     -6.05927e-02     -8.74800e-04
   258.8      1.14827e+03     -4.40434e-02     -6.08081e-04
   258.9      1.14592e+03     -3.23613e-02     -5.57285e-04
   259.0      1.14092e+03     -3.34741e-02     -7.16809e-04
   259.1      1.13314e+03     -2.38067e-02     -5.83570e-04
   259.2      1.12317e+03     -3.86821e-03     -3.15393e-04
   259.3      1.11183e+03      9.80923e-03     -2.65155e-04
   259.4      1.09982e+03      2.61429e-02     -9.64787e-05
   259.5      1.08879e+03      4.60639e-02      1.62358e-04
   259.6      1.07959e+03      4.55862e-02      5.00368e-05
   259.7      1.07262e+03      4.28466e-02      3.44710e-05
   259.8      1.06833e+03      3.71111e-02      3.08473e-06
   259.9      1.06658e+03      2.84695e-02     -8.78986e-05
   260.0      1.06728e+03      3.01344e-02      6.31377e-05
   260.1      1.07121e+03      2.23461e-02     -2.23612e-05
   260.2      1.07753e+03     -8.19826e-03     -3.70459e-04
   260.3      1.08519e+03     -2.66948e-02     -5.93458e-04
   260.4      1.09280e+03     -4.46535e-02     -8.17892e-04
   260.5      1.09901e+03     -5.69612e-02     -9.17086e-04
   260.6      1.10309e+03     -5.30657e-02     -8.11107e-04
   260.7      1.10450e+03     -5.42510e-02     -8.40351e-04
   260.8      1.10243e+03     -4.64039e-02     -7.42732e-04
   260.9      1.09750e+03     -3.16195e-02     -6.00298e-04
   261.0      1.09014e+03     -1.54263e-02     -4.27448e-04
   261.1      1.08104e+03     -3.59425e-03     -2.88868e-04
   261.2      1.07156e+03      8.52742e-03     -2.07849e-04
   261.3      1.06284e+03      2.56849e-02     -1.02117e-04
   261.4      1.05518e+03      3.74132e-02      3.73880e-05
   261.5      1.04933e+03      3.90070e-02      8.28888e-05
   261.6      1.04551e+03      2.91552e-02     -4.13125e-05
   261.7      1.04364e+03      2.11500e-02     -2.02748e-04
   261.8      1.04311e+03      1.65557e-02     -2.58789e-04
   261.9      1.04352e+03      6.77693e-03     -3.28265e-04
   262.0      1.04475e+03     -3.46268e-03     -4.19697e-04
   262.1      1.04652e+03     -4.63172e-03     -2.96734e-04
   262.2      1.04943e+03     -1.77885e-02     -5.30136e-04
   262.3      1.05258e+03     -3.32622e-02     -6.93349e-04
   262.4      1.05523e+03     -3.99174e-02     -7.64640e-04
   262.5      1.05579e+03     -3.30876e-02     -7.23728e-04
   262.6      1.05301e+03     -2.12020e-02     -5.93990e-04
   262.7      1.04713e+03     -1.23399e-02     -5.48257e-04
   262.8      1.03865e+03      3.94441e-03     -4.03980e-04
   262.9      1.02864e+03      1.62682e-02     -2.71194e-04
   263.0      1.01842e+03      2.85239e-02     -1.49646e-04
   263.1      1.00881e+03      3.92764e-02     -4.34120e-05
   263.2      1.00086e+03      4.33618e-02     -7.98082e-05
   263.3      9.94636e+02      4.41465e-02     -5.75165e-05
   263.4      9.89427e+02      4.63020e-02      1.82558e-04
   263.5      9.86083e+02      4.16038e-02      3.41477e-05
   263.6      9.84389e+02      2.72395e-02     -2.99272e-04
   263.7      9.84336e+02      2.12516e-02     -2.74303e-04
   263.8      9.86043e+02      9.92804e-03     -3.10271e-04
   263.9      9.88729e+02     -4.27680e-03     -4.60472e-04
   264.0      9.91588e+02     -5.60265e-03     -3.79792e-04
   264.1      9.94375e+02     -8.75931e-03     -3.40978e-04
   264.2      9.96569e+02     -2.83373e-02     -6.60567e-04
   264.3      9.98046e+02     -2.41200e-02     -6.07727e-04
   264.4      9.98621e+02     -2.81459e-02     -6.98656e-04
   264.5      9.98068e+02     -2.38336e-02     -6.95726e-04
   264.6      9.95169e+02     -7.34337e-03     -4.71430e-04
   264.7      9.89148e+02      5.64879e-03     -3.06146e-04
   264.8      9.80561e+02      1.56522e-02     -2.45415e-04
   264.9      9.70411e+02      2.42902e-02     -1.75201e-04
   265.0      9.60705e+02      3.44135e-02     -1.62171e-04
   265.1      9.53358e+02      3.64272e-02     -1.43044e-04
   265.2      9.49743e+02      3.44196e-02     -9.88762e-05
   265.3      9.49564e+02      2.59252e-02     -2.17558e-04
   265.4      9.51193e+02      1.69891e-02     -3.54564e-04
   265.5      9.52698e+02      1.25082e-02     -3.48600e-04
   265.6      9.52869e+02      4.53560e-03     -3.82863e-04
   265.7      9.51891e+02      7.24744e-03     -2.51814e-04
   265.8      9.49853e+02      5.70170e-03     -3.72363e-04
   265.9      9.46294e+02      7.62679e-03     -4.30998e-04
   266.0      9.41140e+02      1.53652e-02     -3.45829e-04
   266.1      9.34687e+02      2.07988e-02     -2.35907e-04
   266.2      9.28114e+02      2.26191e-02     -1.86879e-04
   266.3      9.22875e+02      2.60998e-02     -2.06301e-04
   266.4      9.18766e+02      2.88744e-02     -1.60189e-04
   266.5      9.14859e+02      2.69831e-02     -2.26281e-04
   266.6      9.09974e+02      2.68352e-02     -2.54026e-04
   266.7      9.03515e+02      2.85343e-02     -2.19681e-04
   266.8      8.95298e+02      3.53809e-02     -1.32007e-04
   266.9      8.86114e+02      4.81601e-02      6.02321e-06
   267.0      8.77647e+02      5.21624e-02     -4.70417e-06
   267.1      8.71542e+02      4.37064e-02     -1.77209e-04
   267.2      8.69190e+02      4.97363e-02      1.39398e-06
   267.3      8.70813e+02      3.57363e-02     -1.32844e-04
   267.4      8.75045e+02      1.66936e-02     -2.63496e-04
   267.5      8.79803e+02      4.93280e-03     -3.84986e-04
   267.6      8.82649e+02     -7.02121e-03     -5.62683e-04
   267.7      8.82324e+02     -1.02480e-02     -5.62843e-04
   267.8      8.79349e+02      2.08611e-04     -4.58121e-04
   267.9      8.74498e+02      2.63584e-03     -5.06098e-04
   268.0      8.68323e+02      2.11107e-02     -2.05306e-04
   268.1      8.61355e+02      3.66082e-02     -6.72798e-05
   268.2      8.53481e+02      4.40162e-02      9.67457e-05
   268.3      8.45583e+02      4.39548e-02      6.11414e-05
   268.4      8.37688e+02      4.91548e-02      4.33381e-05
   268.5      8.29885e+02      5.88049e-02      2.37893e-04
   268.6      8.23432e+02      5.32662e-02      1.58083e-04
   268.7      8.18193e+02      4.46320e-02      3.16131e-05
   268.8      8.13489e+02      4.76871e-02      6.42432e-05
   268.9      8.08590e+02      4.23754e-02     -5.66566e-05
   269.0      8.03018e+02      3.37112e-02     -1.68357e-04
   269.1      7.97914e+02      3.61190e-02     -1.54442e-04
   269.2      7.94521e+02      3.35333e-02     -1.93735e-04
   269.3      7.93582e+02      1.85144e-02     -3.37171e-04
   269.4      7.95553e+02      1.18805e-02     -3.93103e-04
   269.5      7.99518e+02      3.84347e-03     -3.98355e-04
   269.6      8.03901e+02     -1.34073e-02     -6.16693e-04
   269.7      8.06440e+02     -2.09790e-02     -6.63830e-04
   269.8      8.05566e+02     -2.76238e-02     -7.35157e-04
   269.9      8.01335e+02     -1.59009e-02     -5.97846e-04
   270.0      7.94949e+02      2.89986e-03     -4.19481e-04
   270.1      7.87516e+02      6.51233e-03     -4.53020e-04
   270.2      7.79795e+02      1.11513e-02     -3.93203e-04
   270.3      7.72538e+02      1.80549e-02     -3.86181e-04
   270.4      7.65530e+02      3.39136e-02     -1.93223e-04
   270.5      7.58739e+02      3.85275e-02     -1.25702e-04
   270.6      7.52166e+02      4.17187e-02     -3.08433e-05
   270.7      7.46138e+02      3.98532e-02     -1.98424e-05
   270.8      7.40994e+02      2.94789e-02     -1.72053e-04
   270.9      7.36899e+02      2.01196e-02     -3.24825e-04
   271.0      7.33601e+02      1.83349e-02     -3.26307e-04
   271.1      7.30349e+02      2.13779e-02     -2.00424e-04
   271.2      7.26931e+02      1.62548e-02     -3.48121e-04
   271.3      7.23203e+02      2.02329e-02     -2.63200e-04
   271.4      7.19964e+02      1.25507e-02     -4.43671e-04
   271.5      7.17283e+02      1.07305e-02     -4.49858e-04
   271.6      7.15525e+02      1.26824e-02     -3.78714e-04
   271.7      7.14591e+02      1.16046e-02     -4.03824e-04
   271.8      7.13567e+02      1.11991e-02     -3.49015e-04
   271.9      7.12004e+02     -2.61066e-03     -5.95089e-04
   272.0      7.08990e+02     -1.02244e-03     -6.26274e-04
   272.1      7.03875e+02      1.50851e-02     -4.30083e-04
   272.2      6.97256e+02      2.28145e-02     -3.67728e-04
   272.3      6.90746e+02      2.62330e-02     -3.46658e-04
   272.4      6.85540e+02      3.46745e-02     -2.09671e-04
   272.5      6.81529e+02      3.43251e-02     -2.05538e-04
   272.6      6.77717e+02      2.86488e-02     -3.06602e-04
   272.7      6.73301e+02      3.55433e-02     -2.33913e-04
   272.8      6.68341e+02      3.42437e-02     -2.82946e-04
   272.9      6.63627e+02      3.99540e-02     -1.38969e-04
   273.0      6.60203e+02      3.84357e-02     -2.01084e-04
   273.1      6.58025e+02      3.07820e-02     -3.45053e-04
   273.2      6.55671e+02      2.71116e-02     -3.86372e-04
   273.3      6.51898e+02      2.83466e-02     -4.03504e-04
   273.4      6.46600e+02      3.80782e-02     -3.03190e-04
   273.5      6.40504e+02      5.05897e-02     -1.09325e-04
   273.6      6.34350e+02      5.05333e-02     -1.43290e-04
   273.7      6.28242e+02      5.46001e-02     -1.43085e-04
   273.8      6.22134e+02      5.10969e-02     -2.21940e-04
   273.9      6.16169e+02      6.19586e-02     -9.42318e-05
   274.0      6.09928e+02      7.08281e-02      3.09124e-05
   274.1      6.03371e+02      7.42385e-02      5.04665e-05
   274.2      5.96911e+02      8.16677e-02      7.92386e-05
